Name	Status	Adm	p1987	p1995	p2001	p2011	p2020
Schwäbisch Gmünd	City	BW	56754	63734	61873	58105	61216
Schweinfurt	CityCR	BY	51962	55722	54568	52143	53319
Schwerin	CityCR	MV	128328	114688	99978	91293	95609
Siegen	City	NW	106384	111398	108397	99187	101943
Sindelfingen	City	BW	56861	59435	60878	60534	64595
Solingen	CityCR	NW	159103	165735	165032	155265	159193
Speyer	CityCR	RP	44034	49664	49956	49540	50741
Stolberg (Rhld.)	City	NW	55747	58203	58718	56206	56377
Stralsund	City	MV	75857	65977	59970	56729	59205
Stuttgart	CityCR	BW	551904	585604	587152	585890	630305
Trier	CityCR	RP	94118	99428	100024	105671	110674
Troisdorf	City	NW	60079	68778	73282	72408	74994
Tübingen	City	BW	71701	81769	82444	82511	91077
Ulm	CityCR	BW	103494	115721	118347	116761	126405
Unna	City	NW	56499	66475	70117	59149	58816
Velbert	City	NW	87366	89786	89823	81303	81564
Viersen	City	NW	76445	77338	77259	74941	77376
Villingen-Schwenningen	City	BW	75861	80734	81691	80123	85686
Waiblingen	City	BW	45603	50333	52536	51552	55526
Weimar	CityCR	TH	...	62122	63522	62764	65098
Wesel	City	NW	57507	61609	62151	60335	60329
Wetzlar	City	HE	50211	53922	52657	50826	53188
Wiesbaden	CityCR	HE	251871	267122	271076	269121	278609
Wilhelmshaven	CityCR	NI	90982	90667	84994	77451	75189
Willich	City	NW	40303	45932	50853	50708	50283
Witten	City	NW	102902	104754	103158	96382	95876
Wolfenbüttel	City	NI	50729	53686	54517	51756	52121
Wolfsburg	CityCR	NI	124896	126331	121887	119984	123840
Worms	CityCR	RP	73635	80014	80625	79207	83459
Wuppertal	CityCR	NW	365662	381884	364784	342661	355004
Würzburg	CityCR	BY	123378	127295	129915	124297	126954
Zwickau	City	SN	130455	111498	101726	93081	87516
